Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0001_C2022783F.jpg,S. Rojkowski,S. Rojkowski,N/A,394,8 Febr.1976,1976-02-08,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,B. Ochyra,unsure and check,N/A,Kenya,N/A,N/A,N/A,"01 Doinyo Sapuk National Park near Thika, alt. 2270 m; epiphytic",01 Doinyo Sapuk National Park near Thika; epiphytic,epiphytic,alt. 2270 m,N/A,1050634,Mix of Handwritten and Typed,no type status
0002_C2022784F.jpg,R. E. Magill & T. Pocs 11241,R. E. Magill,T. Pocs,11241,7 August 1992,1992-08-07,N/A,"Orthostichella ampullacea (C Müller) B Allen & Magill det B Allen, 2005",Orthostichella ampullacea,B. Allen,2005,Orthostichopsis subimbricata,Comoros,Anjouan (Ndzouani),N/A,N/A,"Primary rainforest, along steep SE summit ridge of Ntringi, N of Lake Dzialandze, 2 km WSW of Dindri Village On branch, with Orthostichopsis subimbricata","Primary rainforest, along steep SE summit ridge of Ntringi, N of Lake Dzialandze, 2 kilometers WSW of Dindri Village On branch",Primary rainforest,1380 m,"12°12'52""S 44°25'32""E",1182831,Typed,no type status
0003_C2022785F.jpg,S. Kojkowski,S. Kojkowski,N/A,207,9.I.1976,1976-01-09,N/A,Pilotrichella cuspidata Broth.,Pilotrichella cuspidata,R. Ochyra,N/A,N/A,Kenya,N/A,N/A,Nairobi,"Ngong Hills near Nairobi, city of Ngong, epiphytic","Ngong Hills near Nairobi, city of Ngong",epiphytic,N/A,N/A,1050638,Mix of Handwritten and Typed,no type status
0004_C2022786F.jpg,S. Rojkowski,S. Rojkowski,N/A,378,22 Jan.1976,1976-01-22,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,B. Allen,2005,N/A,Tanzania,N/A,N/A,N/A,"Mt. Meru, W slope of the crater rim, alt. 2700 m, epiphytic in montane rain forest","Mt. Meru, W slope of the crater rim, epiphytic in montane rain forest",epiphytic in montane rain forest,alt. 2700 m,N/A,1050662,Mix of Handwritten and Typed,no type status
0005_C2022787F.jpg,S. Rogikowski No 253,S. Rogikowski,N/A,253,"Jan.13,1976",1976-01-13,N/A,"Orthostichella ampullacea (C. Müller) B. H. Allen & Magill Det. Bruce Allen, 2005 Missouri Botanical Garden Herbarium (MO)",Pilotrichella cuspidata,Bruce Allen,2005,N/A,Tanzania,N/A,N/A,N/A,"Ngorongoro Crater, alt. 2500 m, epiphytic in bamboo thickets","Ngorongoro Crater, epiphytic in bamboo thickets",bamboo thickets,alt. 2500 m,N/A,1050652,Mix of Handwritten and Typed,no type status
0006_C2022788F.jpg,B. H. Allen & Magill,B. H. Allen,Magill,s.n.,s.d.,N/A,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,B. H. Allen & Magill,N/A,N/A,United States of America,Missouri,N/A,N/A,Missouri Botanical Garden Herbarium (MO),Missouri Botanical Garden Herbarium,N/A,N/A,N/A,N/A,Typed,no type status
0007_C2022789F.jpg,B. Zemanek,B. Zemanek,N/A,s.n.,1976,1976-00-00,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill,Orthostichella ampullacea,B. Allen,2005,N/A,Kenya,N/A,N/A,N/A,"Ngong Hills near Nairobi, epiphytic",Ngong Hills near Nairobi,epiphytic,N/A,N/A,1050473,Mix of Handwritten and Typed,no type status
0008_C2022790F.jpg,T G Dalbo,T. G. Dalbo,N/A,s.n.,18-4-1910,1910-04-18,N/A,Orthostichella ampullacea (C. Müller) B. H. Allen & Magill Det. Bruce Allen & Magill Missouri Botanical Garden Herbarium (MO),Orthostichella ampullacea,B. H. Allen & Magill,N/A,N/A,Kenya,Nyeri,N/A,N/A,Kenya: Nyeri - m 1800-,[precise locality unknown],N/A,m 1800-,N/A,N/A,Mix of Handwritten and Typed,no type status
0009_C2022791F.jpg,S. Kojkowski,S. Kojkowski,N/A,369,Jan.22.1976,1976-01-22,N/A,Piltrichella ampullacea (C. Muell.)Jaeg.,Piltrichella ampullacea,R. Ochyra,N/A,N/A,Tanzania,N/A,N/A,N/A,"Mt.Meru, 2600 m alt., W slope of the crater rim, epiphytic in montane rain forest","Mt.Meru, W slope of the crater rim, epiphytic in montane rain forest",montane rain forest,2600 m alt.,N/A,1050650,Mix of Handwritten and Typed,no type status
0010_C2022792F.jpg,B. H. Allen & Magill,B. H. Allen,Magill,s.n.,12 Jan. 1976,1976-01-12,N/A,Orthostichella ampullacea (C. Müll.) B. H. Allen & Magill,Orthostichella ampullacea,B. H. Allen,N/A,N/A,Tanzania,N/A,N/A,N/A,"TANZANIA: Ngorongoro Crater rim, epiphytic in bamboo thickets, alt. 2500 m","Ngorongoro Crater rim, epiphytic in bamboo thickets, altitude 2500 meters",epiphytic in bamboo thickets,alt. 2500 m,N/A,1050643,Typed,no type status
